mean_squared_0,mean_squared_1,r_squared,chi_squared_0,chi_squared_1,average_pull_0,average_pull_1,mean_squared_weighted_0,mean_squared_weighted_1,r_squared_weighted,chi_squared_weighted_0,chi_squared_weighted_1,average_pull_weighted_0,average_pull_weighted_1,accurcay
0.37750762701034546,0.6144164800643921,-300.42120361328125,10.505764961242676,0.021053636446595192,0.13639269769191742,0.14495354890823364,0.00013760456931777298,0.0117304977029562,0.348877489566803,0.00382943544536829,7.674218977626879e-06,0.00012317209620960057,0.002767466474324465,0.996
0.44108641147613525,0.6641433835029602,-351.18572998046875,13.494288444519043,0.027042662724852562,0.1522168219089508,0.16428200900554657,0.0001375928259221837,0.011729996651411057,0.3489331007003784,0.004209418315440416,8.435707968601491e-06,0.00012675933248829097,0.0029015231411904097,0.996
0.42917317152023315,0.6551131010055542,-341.673583984375,13.360884666442871,0.026775319129228592,0.1494579315185547,0.16346794366836548,0.00013055023737251759,0.011425858363509178,0.38225746154785156,0.004064248409122229,8.144786079355981e-06,0.0001245720632141456,0.002851051976904273,0.992
0.4478103220462799,0.6691862940788269,-356.554443359375,13.983745574951172,0.02802353911101818,0.15212231874465942,0.16723483800888062,0.00012564232747536153,0.011209028773009777,0.40548086166381836,0.003923424519598484,7.86257442086935e-06,0.00012095653801225126,0.00280122272670269,0.99
0.4474906623363495,0.6689474582672119,-356.2992248535156,13.981147766113281,0.02801833301782608,0.15138988196849823,0.16721929609775543,0.00012030354264425114,0.01096829678863287,0.43074315786361694,0.003758697072044015,7.532459221692989e-06,0.00011747361713787541,0.002741786651313305,0.986
0.4373706579208374,0.661340057849884,-348.2189025878906,13.666211128234863,0.027387196198105812,0.15054897964000702,0.16532519459724426,0.00011041243124054745,0.010507731698453426,0.4775462746620178,0.0034499787725508213,6.913785000506323e-06,0.00011119668488390744,0.0026267769280821085,0.994
0.43411558866500854,0.65887451171875,-345.619873046875,13.564712524414062,0.027183793485164642,0.14893077313899994,0.1647101193666458,0.00010820289026014507,0.010402061976492405,0.4880014657974243,0.0033809912856668234,6.775533620384522e-06,0.00010969228605972603,0.002600381150841713,0.988
0.43407198786735535,0.6588413715362549,-345.5850524902344,13.563384056091309,0.027181129902601242,0.14862774312496185,0.16470205783843994,0.00010301600559614599,0.010149680078029633,0.5125449895858765,0.00321892648935318,6.450754426623462e-06,0.00010549563012318686,0.002537292428314686,0.99
0.7924169301986694,0.8901780247688293,-631.705810546875,15.061287879943848,0.030182940885424614,0.17342814803123474,0.1735585629940033,0.0008623764733783901,0.029366247355937958,-3.080625534057617,0.01639099046587944,3.284767808509059e-05,0.00027153236442245543,0.005725555121898651,1.0
0.7946871519088745,0.8914522528648376,-773.55859375,15.104414939880371,0.03026936948299408,0.17370012402534485,0.17380687594413757,0.0005976774264127016,0.024447442963719368,-7.672268867492676,0.01135990209877491,2.2765334506402723e-05,0.00017099498654715717,0.004766529425978661,1.0
