Metric,Value
chi_squared,1783.264404296875
reduced_chi_squared,0.17837995290756226
chi_squared,1966.902099609375
reduced_chi_squared,0.1967492401599884
chi_squared,2027.1051025390625
reduced_chi_squared,0.20277133584022522
chi_squared,1948.5430908203125
reduced_chi_squared,0.19491277635097504
chi_squared,1923.459228515625
reduced_chi_squared,0.192403644323349
chi_squared,1869.4876708984375
reduced_chi_squared,0.18700486421585083
chi_squared,1745.3074951171875
reduced_chi_squared,0.17458312213420868
chi_squared,1642.63623046875
reduced_chi_squared,0.1643129140138626
chi_squared,1676.1990966796875
reduced_chi_squared,0.16767020523548126
chi_squared,1633.490966796875
reduced_chi_squared,0.1633981168270111
